# Runlist.csv file written by KVINDRADB_e475s::WriteRunListFile on Wed Mar 25 16:13:17 2009
Version=10
2 | Buffers=12704 | Events=1191382 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=56614 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30556 | DEC=6534275 | FC=1191502 | OK=1191501 | FT=1191501 | AVL=1191501 | OCD=1191501 | OA=1191501 | RAZ=1191502 | Plast All=5371023 | Plast G=1438685 | Plast C=28975 | Plast D=5642541 | Trigger multiplicity=0 | Length (min.)=5.040250 | Size (MB)=198.500000 | Dead time (%)=53.972500 | Start Date=9-MAR-2006 05:55:17.00 | End Date=9-MAR-2006 06:00:18.00 | Comments=faisceau 78Kr + 40Ca 5.5 A.MeV | Logbook=runs a priori de trigger 1 mais inexpoitables | 
91 | Buffers=12706 | Events=290449 | Faraday 1=22 | Faraday 2=0 | Gene DIRECT=103411 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26721 | DEC=385971 | FC=289768 | OK=289768 | FT=289768 | AVL=289768 | OCD=289768 | OA=289769 | RAZ=289769 | Plast All=22201 | Plast G=22201 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.348850 | Size (MB)=198.531006 | Dead time (%)=25.839600 | Start Date=13-MAR-2006 13:42:27.00 | End Date=13-MAR-2006 13:52:07.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
92 | Buffers=12707 | Events=286345 | Faraday 1=37 | Faraday 2=0 | Gene DIRECT=104946 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26618 | DEC=377986 | FC=285567 | OK=285567 | FT=285567 | AVL=285567 | OCD=285567 | OA=285567 | RAZ=285567 | Plast All=22628 | Plast G=22628 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.518160 | Size (MB)=198.546997 | Dead time (%)=25.363501 | Start Date=13-MAR-2006 13:52:08.00 | End Date=13-MAR-2006 14:01:23.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
93 | Buffers=12710 | Events=287083 | Faraday 1=52 | Faraday 2=0 | Gene DIRECT=105325 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26538 | DEC=378019 | FC=286064 | OK=286064 | FT=286064 | AVL=286064 | OCD=286064 | OA=286064 | RAZ=286065 | Plast All=22612 | Plast G=22612 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.584340 | Size (MB)=198.593994 | Dead time (%)=25.196301 | Start Date=13-MAR-2006 14:01:23.00 | End Date=13-MAR-2006 14:11:11.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
94 | Buffers=12704 | Events=288348 | Faraday 1=12 | Faraday 2=0 | Gene DIRECT=103902 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26509 | DEC=381411 | FC=287887 | OK=287887 | FT=287887 | AVL=287887 | OCD=287887 | OA=287887 | RAZ=287888 | Plast All=22396 | Plast G=22396 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.367270 | Size (MB)=198.500000 | Dead time (%)=25.513500 | Start Date=13-MAR-2006 14:11:11.00 | End Date=13-MAR-2006 14:20:22.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
95 | Buffers=12703 | Events=290113 | Faraday 1=107 | Faraday 2=0 | Gene DIRECT=103385 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26820 | DEC=385563 | FC=289892 | OK=289891 | FT=289891 | AVL=289891 | OCD=289891 | OA=289891 | RAZ=289892 | Plast All=22209 | Plast G=22207 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.296360 | Size (MB)=198.483994 | Dead time (%)=25.941900 | Start Date=13-MAR-2006 14:20:22.00 | End Date=13-MAR-2006 14:30:00.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
96 | Buffers=12708 | Events=290930 | Faraday 1=14 | Faraday 2=0 | Gene DIRECT=102440 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26525 | DEC=387410 | FC=291177 | OK=291177 | FT=291177 | AVL=291177 | OCD=291177 | OA=291177 | RAZ=291178 | Plast All=21997 | Plast G=21997 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.284710 | Size (MB)=198.561996 | Dead time (%)=25.893200 | Start Date=13-MAR-2006 14:30:01.00 | End Date=13-MAR-2006 14:39:09.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
97 | Buffers=12706 | Events=289759 | Faraday 1=59 | Faraday 2=0 | Gene DIRECT=103569 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26548 | DEC=384892 | FC=289442 | OK=289442 | FT=289442 | AVL=289442 | OCD=289442 | OA=289442 | RAZ=289442 | Plast All=22223 | Plast G=22222 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.367740 | Size (MB)=198.531006 | Dead time (%)=25.633200 | Start Date=13-MAR-2006 14:39:09.00 | End Date=13-MAR-2006 14:48:20.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
98 | Buffers=12704 | Events=290133 | Faraday 1=2 | Faraday 2=0 | Gene DIRECT=104984 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26847 | DEC=384970 | FC=289840 | OK=289840 | FT=289840 | AVL=289840 | OCD=289840 | OA=289840 | RAZ=289841 | Plast All=22468 | Plast G=22468 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.442480 | Size (MB)=198.500000 | Dead time (%)=25.572500 | Start Date=13-MAR-2006 14:48:20.00 | End Date=13-MAR-2006 14:58:03.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
99 | Buffers=12707 | Events=291313 | Faraday 1=46 | Faraday 2=0 | Gene DIRECT=104959 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26382 | DEC=385350 | FC=291087 | OK=291087 | FT=291087 | AVL=291087 | OCD=291087 | OA=291087 | RAZ=291088 | Plast All=22533 | Plast G=22533 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.525220 | Size (MB)=198.546997 | Dead time (%)=25.135500 | Start Date=13-MAR-2006 14:58:03.00 | End Date=13-MAR-2006 15:07:19.00 | Comments=en fin de run, tension mise sur cible:5kV. SiLi 10,11,12 demasques en cours de run. | Logbook=p.76 | 
100 | Buffers=12707 | Events=295755 | Faraday 1=1 | Faraday 2=0 | Gene DIRECT=103409 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26567 | DEC=391893 | FC=294835 | OK=294835 | FT=294835 | AVL=294835 | OCD=294835 | OA=294835 | RAZ=294836 | Plast All=22072 | Plast G=22072 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.357360 | Size (MB)=198.546997 | Dead time (%)=25.691200 | Start Date=13-MAR-2006 15:07:19.00 | End Date=13-MAR-2006 15:16:30.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
101 | Buffers=12707 | Events=298879 | Faraday 1=23 | Faraday 2=0 | Gene DIRECT=101850 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26121 | DEC=397555 | FC=297765 | OK=297765 | FT=297765 | AVL=297765 | OCD=297765 | OA=297765 | RAZ=297766 | Plast All=21799 | Plast G=21799 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.272390 | Size (MB)=198.546997 | Dead time (%)=25.646500 | Start Date=13-MAR-2006 15:16:30.00 | End Date=13-MAR-2006 15:26:08.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
102 | Buffers=12705 | Events=295591 | Faraday 1=10 | Faraday 2=0 | Gene DIRECT=103840 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26540 | DEC=391059 | FC=294546 | OK=294546 | FT=294546 | AVL=294546 | OCD=294546 | OA=294546 | RAZ=294546 | Plast All=22082 | Plast G=22082 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.371740 | Size (MB)=198.516006 | Dead time (%)=25.558599 | Start Date=13-MAR-2006 15:26:08.00 | End Date=13-MAR-2006 15:35:19.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
103 | Buffers=12706 | Events=298060 | Faraday 1=90 | Faraday 2=0 | Gene DIRECT=103112 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26429 | DEC=393951 | FC=296668 | OK=296668 | FT=296668 | AVL=296668 | OCD=296668 | OA=296668 | RAZ=296669 | Plast All=21979 | Plast G=21979 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.367310 | Size (MB)=198.531006 | Dead time (%)=25.631399 | Start Date=13-MAR-2006 15:35:19.00 | End Date=13-MAR-2006 15:44:30.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
104 | Buffers=12706 | Events=300229 | Faraday 1=3 | Faraday 2=0 | Gene DIRECT=102550 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26504 | DEC=398286 | FC=299094 | OK=299094 | FT=299094 | AVL=299094 | OCD=299094 | OA=299094 | RAZ=299095 | Plast All=21817 | Plast G=21817 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.290000 | Size (MB)=198.531006 | Dead time (%)=25.844999 | Start Date=13-MAR-2006 15:44:30.00 | End Date=13-MAR-2006 15:54:08.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
105 | Buffers=12707 | Events=306606 | Faraday 1=4 | Faraday 2=0 | Gene DIRECT=101521 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26636 | DEC=408984 | FC=305929 | OK=305929 | FT=305929 | AVL=305929 | OCD=305929 | OA=305929 | RAZ=305930 | Plast All=21562 | Plast G=21562 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.214490 | Size (MB)=198.546997 | Dead time (%)=26.236900 | Start Date=13-MAR-2006 15:54:08.00 | End Date=13-MAR-2006 16:03:14.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
106 | Buffers=12705 | Events=307036 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=100153 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26234 | DEC=412031 | FC=306605 | OK=306605 | FT=306605 | AVL=306605 | OCD=306605 | OA=306605 | RAZ=306605 | Plast All=21296 | Plast G=21296 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.078320 | Size (MB)=198.516006 | Dead time (%)=26.193899 | Start Date=13-MAR-2006 16:03:14.00 | End Date=13-MAR-2006 16:12:16.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
107 | Buffers=12704 | Events=305715 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=101462 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26742 | DEC=408207 | FC=305053 | OK=305053 | FT=305053 | AVL=305053 | OCD=305053 | OA=305053 | RAZ=305053 | Plast All=21521 | Plast G=21521 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.136030 | Size (MB)=198.500000 | Dead time (%)=26.356701 | Start Date=13-MAR-2006 16:12:17.00 | End Date=13-MAR-2006 16:21:21.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
108 | Buffers=12710 | Events=301446 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=102724 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26605 | DEC=400899 | FC=300939 | OK=300939 | FT=300939 | AVL=300939 | OCD=300939 | OA=300939 | RAZ=300940 | Plast All=21842 | Plast G=21842 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.366080 | Size (MB)=198.593994 | Dead time (%)=25.899500 | Start Date=13-MAR-2006 16:21:21.00 | End Date=13-MAR-2006 16:31:01.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
109 | Buffers=12704 | Events=299198 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=103544 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26493 | DEC=397640 | FC=298850 | OK=298850 | FT=298850 | AVL=298850 | OCD=298850 | OA=298850 | RAZ=298851 | Plast All=21904 | Plast G=21904 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.301910 | Size (MB)=198.500000 | Dead time (%)=25.586201 | Start Date=13-MAR-2006 16:31:02.00 | End Date=13-MAR-2006 16:40:11.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
110 | Buffers=12706 | Events=298671 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=103391 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=26379 | DEC=396296 | FC=298207 | OK=298207 | FT=298207 | AVL=298207 | OCD=298207 | OA=298207 | RAZ=298208 | Plast All=21986 | Plast G=21986 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=9.338960 | Size (MB)=198.531006 | Dead time (%)=25.513800 | Start Date=13-MAR-2006 16:40:12.00 | End Date=13-MAR-2006 16:49:22.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
111 | Buffers=9736 | Events=226882 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=79277 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=20400 | DEC=301023 | FC=226180 | OK=226180 | FT=226180 | AVL=226180 | OCD=226180 | OA=226180 | RAZ=226180 | Plast All=16801 | Plast G=16801 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=7.186870 | Size (MB)=152.125000 | Dead time (%)=25.732599 | Start Date=13-MAR-2006 16:49:22.00 | End Date=13-MAR-2006 16:56:28.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
112 | Buffers=12711 | Events=997544 | Faraday 1=7 | Faraday 2=0 | Gene DIRECT=246802 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37191 | DEC=1175075 | FC=997700 | OK=997700 | FT=997700 | AVL=997700 | OCD=997700 | OA=997700 | RAZ=997701 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=21.974899 | Size (MB)=198.608994 | Dead time (%)=15.069200 | Start Date=13-MAR-2006 17:27:22.00 | End Date=13-MAR-2006 17:49:21.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
113 | Buffers=12705 | Events=989126 | Faraday 1=2 | Faraday 2=0 | Gene DIRECT=269351 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37135 | DEC=1159970 | FC=988095 | OK=988095 | FT=988095 | AVL=988095 | OCD=988095 | OA=988095 | RAZ=988095 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=23.979401 | Size (MB)=198.516006 | Dead time (%)=13.786800 | Start Date=13-MAR-2006 17:49:21.00 | End Date=13-MAR-2006 18:13:20.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
114 | Buffers=12712 | Events=997262 | Faraday 1=4 | Faraday 2=0 | Gene DIRECT=253784 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37707 | DEC=1168842 | FC=997109 | OK=997109 | FT=997109 | AVL=997109 | OCD=997109 | OA=997109 | RAZ=997109 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=22.695601 | Size (MB)=198.625000 | Dead time (%)=14.857900 | Start Date=13-MAR-2006 18:13:21.00 | End Date=13-MAR-2006 18:36:11.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
115 | Buffers=9537 | Events=745272 | Faraday 1=1 | Faraday 2=0 | Gene DIRECT=185241 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=6 | Gene TM=27882 | DEC=874953 | FC=743053 | OK=743053 | FT=743053 | AVL=743053 | OCD=743053 | OA=743053 | RAZ=743054 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=16.577499 | Size (MB)=149.016006 | Dead time (%)=15.052200 | Start Date=13-MAR-2006 18:36:12.00 | End Date=13-MAR-2006 18:52:29.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
116 | Buffers=12707 | Events=1043831 | Faraday 1=1568 | Faraday 2=0 | Gene DIRECT=234390 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37616 | DEC=1235749 | FC=1043948 | OK=1043948 | FT=1043948 | AVL=1043948 | OCD=1043948 | OA=1043948 | RAZ=1043948 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=20.820999 | Size (MB)=198.546997 | Dead time (%)=16.048500 | Start Date=13-MAR-2006 20:55:20.00 | End Date=13-MAR-2006 21:16:15.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
117 | Buffers=4247 | Events=346807 | Faraday 1=1 | Faraday 2=0 | Gene DIRECT=77860 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=12523 | DEC=406900 | FC=344266 | OK=344266 | FT=344266 | AVL=344266 | OCD=344266 | OA=344266 | RAZ=344266 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=7.148950 | Size (MB)=66.359398 | Dead time (%)=16.084000 | Start Date=13-MAR-2006 21:16:15.00 | End Date=13-MAR-2006 21:23:19.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
118 | Buffers=12707 | Events=1043770 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=245456 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37544 | DEC=1238144 | FC=1044910 | OK=1044910 | FT=1044910 | AVL=1044910 | OCD=1044910 | OA=1044910 | RAZ=1044911 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=21.778700 | Size (MB)=198.546997 | Dead time (%)=15.295600 | Start Date=13-MAR-2006 21:41:25.00 | End Date=13-MAR-2006 22:03:18.00 | Comments=Pssage au mode gene-Physique automatique | Logbook=p.79 | 
119 | Buffers=12708 | Events=1068669 | Faraday 1=1 | Faraday 2=0 | Gene DIRECT=231268 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=37506 | DEC=1279625 | FC=1066180 | OK=1066180 | FT=1066180 | AVL=1066180 | OCD=1066180 | OA=1066180 | RAZ=1066181 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=20.662201 | Size (MB)=198.561996 | Dead time (%)=16.217501 | Start Date=13-MAR-2006 22:03:19.00 | End Date=13-MAR-2006 22:24:08.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
120 | Buffers=816 | Events=70869 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=13065 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=2591 | DEC=87406 | FC=70900 | OK=70900 | FT=70900 | AVL=70900 | OCD=70900 | OA=70900 | RAZ=70900 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=69.716797 | Size (MB)=12.750000 | Dead time (%)=19.831600 | Start Date=13-MAR-2006 22:24:09.00 | End Date=13-MAR-2006 23:34:00.00 | Comments=Crash acquisition | Logbook= | 
121 | Buffers=12706 | Events=888825 | Faraday 1=1323 | Faraday 2=0 | Gene DIRECT=376402 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=35778 | DEC=1011821 | FC=889850 | OK=889850 | FT=889850 | AVL=889850 | OCD=889850 | OA=889850 | RAZ=889851 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=33.369499 | Size (MB)=198.531006 | Dead time (%)=9.505260 | Start Date=14-MAR-2006 00:31:21.00 | End Date=14-MAR-2006 01:05:02.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
122 | Buffers=12709 | Events=890034 | Faraday 1=1310 | Faraday 2=0 | Gene DIRECT=376217 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=35952 | DEC=985170 | FC=889256 | OK=889256 | FT=889256 | AVL=889256 | OCD=889256 | OA=889256 | RAZ=889257 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=33.527699 | Size (MB)=198.578003 | Dead time (%)=9.556190 | Start Date=14-MAR-2006 01:05:02.00 | End Date=14-MAR-2006 01:38:17.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
123 | Buffers=12704 | Events=891105 | Faraday 1=1309 | Faraday 2=0 | Gene DIRECT=384740 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=36266 | DEC=984209 | FC=891252 | OK=891252 | FT=891252 | AVL=891252 | OCD=891252 | OA=891252 | RAZ=891253 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=34.200298 | Size (MB)=198.500000 | Dead time (%)=9.426110 | Start Date=14-MAR-2006 01:38:18.00 | End Date=14-MAR-2006 02:12:24.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
124 | Buffers=12706 | Events=890655 | Faraday 1=1309 | Faraday 2=0 | Gene DIRECT=392224 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=36371 | DEC=983888 | FC=891375 | OK=891375 | FT=891375 | AVL=891375 | OCD=891375 | OA=891375 | RAZ=891376 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=34.880299 | Size (MB)=198.531006 | Dead time (%)=9.273020 | Start Date=14-MAR-2006 02:12:24.00 | End Date=14-MAR-2006 02:47:20.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
125 | Buffers=12704 | Events=890227 | Faraday 1=1309 | Faraday 2=0 | Gene DIRECT=394812 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=36214 | DEC=980474 | FC=889563 | OK=889563 | FT=889563 | AVL=889563 | OCD=889563 | OA=889563 | RAZ=889563 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=35.106800 | Size (MB)=198.500000 | Dead time (%)=9.172470 | Start Date=14-MAR-2006 02:47:20.00 | End Date=14-MAR-2006 03:22:23.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
126 | Buffers=12282 | Events=864228 | Faraday 1=1345 | Faraday 2=0 | Gene DIRECT=266889 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=34364 | DEC=998072 | FC=864223 | OK=864223 | FT=864223 | AVL=864223 | OCD=864223 | OA=864223 | RAZ=864223 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=23.818600 | Size (MB)=191.906006 | Dead time (%)=12.875800 | Start Date=14-MAR-2006 03:22:23.00 | End Date=14-MAR-2006 03:46:18.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
127 | Buffers=12707 | Events=1478785 | Faraday 1=355 | Faraday 2=0 | Gene DIRECT=66376 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=23094 | DEC=5300163 | FC=1478885 | OK=1478885 | FT=1478885 | AVL=1478885 | OCD=1478885 | OA=1478885 | RAZ=1478885 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=5.942790 | Size (MB)=198.546997 | Dead time (%)=34.792702 | Start Date=14-MAR-2006 03:51:17.00 | End Date=14-MAR-2006 03:57:15.00 | Comments=Run de multiplicite >\equal1 | Logbook=p.80 | 
128 | Buffers=12705 | Events=1478041 | Faraday 1=391 | Faraday 2=0 | Gene DIRECT=73206 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=29410 | DEC=5823562 | FC=1488494 | OK=1488494 | FT=1488494 | AVL=1488494 | OCD=1488494 | OA=1488494 | RAZ=1488494 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=7.030800 | Size (MB)=198.516006 | Dead time (%)=40.174301 | Start Date=14-MAR-2006 03:57:18.00 | End Date=14-MAR-2006 04:04:19.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
129 | Buffers=4884 | Events=565038 | Faraday 1=220 | Faraday 2=0 | Gene DIRECT=42101 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=23290 | DEC=3271225 | FC=570226 | OK=570226 | FT=570226 | AVL=570226 | OCD=570226 | OA=570226 | RAZ=570226 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=3.928750 | Size (MB)=76.312500 | Dead time (%)=55.319401 | Start Date=14-MAR-2006 04:04:19.00 | End Date=14-MAR-2006 04:08:16.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
130 | Buffers=12388 | Events=1441064 | Faraday 1=346 | Faraday 2=0 | Gene DIRECT=65485 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=23438 | DEC=5156627 | FC=1441090 | OK=1441088 | FT=1441088 | AVL=1441088 | OCD=1441088 | OA=1441088 | RAZ=1441088 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=1 | Length (min.)=5.900740 | Size (MB)=193.561996 | Dead time (%)=35.791401 | Start Date=14-MAR-2006 04:09:13.00 | End Date=14-MAR-2006 04:15:10.00 | Comments=82Kr + 40Ca 5.5 A.MeV | Logbook= | 
131 | Buffers=12711 | Events=895469 | Faraday 1=1404 | Faraday 2=0 | Gene DIRECT=275078 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=35614 | DEC=1030600 | FC=896570 | OK=896570 | FT=896570 | AVL=896570 | OCD=896570 | OA=896570 | RAZ=896571 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Trigger multiplicity=2 | Length (min.)=24.463100 | Size (MB)=198.608994 | Dead time (%)=12.946900 | Start Date=14-MAR-2006 04:17:10.00 | End Date=14-MAR-2006 04:41:24.00 | Comments=Run de multiplicite M>\equal2 | Logbook= | 
