# Runlist.csv file written by KVINDRADB5::WriteRunListFile on Thu Jun 11 11:24:50 2009
Version=10
6004 | Events=119691 | Faraday 1=33794 | Buffers=12108 | Gene DIRECT=3410361 | Gene MARQ=1436884 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.365250 | Length (min.)=47.000000 | Comments=Run Automate  Si | Start Date=03/04/2001 05:43:00 | 
6005 | Events=240432 | Faraday 1=42580 | Buffers=5808 | Gene DIRECT=4400037 | Gene MARQ=2424019 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.308201 | Length (min.)=89.000000 | Comments=Run Automate  Chio | Start Date=03/04/2001 06:30:00 | 
6006 | Events=783459 | Faraday 1=870271 | Buffers=5797 | Gene DIRECT=5981743 | Gene MARQ=3366087 | Gene TM=1108366 | Trigger multiplicity=1 | Dead time (%)=42.374302 | Length (min.)=5.000000 | Comments=seuil Si 5.8 augmenté | Start Date=03/04/2001 10:15:00 | Logbook=c12p54 | 
6007 | Events=1606811 | Faraday 1=876406 | Buffers=12117 | Gene DIRECT=6130412 | Gene MARQ=3375582 | Gene TM=1214468 | Trigger multiplicity=1 | Dead time (%)=44.085045 | Length (min.)=11.000000 | Comments=Gain 150 Mu comme les autres | Start Date=03/04/2001 10:23:00 | Logbook=C12P55 | 
6008 | Events=994460 | Faraday 1=879907 | Buffers=7286 | Gene DIRECT=6211811 | Gene MARQ=3378757 | Gene TM=1271312 | Trigger multiplicity=1 | Dead time (%)=44.874260 | Length (min.)=7.000000 | Start Date=03/04/2001 10:34:00 | 
6009 | Events=560792 | Faraday 1=885264 | Buffers=4100 | Gene DIRECT=6617847 | Gene MARQ=3394576 | Gene TM=1367004 | Trigger multiplicity=1 | Dead time (%)=42.410458 | Length (min.)=5.000000 | Comments=Tous les Gains standard INDRA+Entrée 2 du Gr 1 Trigger fermé | Start Date=03/04/2001 11:13:00 | 
6010 | Events=1398343 | Faraday 1=890423 | Buffers=12117 | Gene DIRECT=6759193 | Gene MARQ=3404057 | Gene TM=1419780 | Trigger multiplicity=1 | Dead time (%)=42.316616 | Length (min.)=12.000000 | Comments=Tous les détecteurs démasqués | Start Date=03/04/2001 11:18:00 | 
6011 | Events=1431908 | Faraday 1=895688 | Buffers=12117 | Gene DIRECT=6889091 | Gene MARQ=3410404 | Gene TM=1462232 | Trigger multiplicity=1 | Dead time (%)=42.034019 | Length (min.)=12.000000 | Start Date=03/04/2001 11:30:00 | 
6012 | Events=1328009 | Faraday 1=900583 | Buffers=11291 | Gene DIRECT=7008754 | Gene MARQ=3416721 | Gene TM=1501119 | Trigger multiplicity=1 | Dead time (%)=41.790234 | Length (min.)=10.000000 | Start Date=03/04/2001 11:42:00 | 
6013 | Events=148009 | Faraday 1=903017 | Buffers=1201 | Gene DIRECT=7067171 | Gene MARQ=3419895 | Gene TM=1549720 | Trigger multiplicity=1 | Dead time (%)=42.489792 | Length (min.)=2.000000 | Comments=Remise de la config masquée(Csi masqués sauf C10. Chios démasquées)-entrée 3 gr 1 otée du trigger | Start Date=03/04/2001 11:56:00 | 
6014 | Events=1241222 | Faraday 1=916256 | Buffers=12108 | Gene DIRECT=7467330 | Gene MARQ=3442055 | Gene TM=1585881 | Trigger multiplicity=1 | Dead time (%)=39.398079 | Length (min.)=35.000000 | Comments=Couronne 6-10 en déclenchement - 10 mn interruption HF | Start Date=03/04/2001 11:58:00 | 
6015 | Events=660775 | Faraday 1=923137 | Buffers=6539 | Gene DIRECT=7639079 | Gene MARQ=3451543 | Gene TM=1602481 | Trigger multiplicity=1 | Dead time (%)=38.267876 | Length (min.)=15.000000 | Start Date=03/04/2001 12:34:00 | 
6016 | Events=1216170 | Faraday 1=935753 | Buffers=12109 | Gene DIRECT=8070116 | Gene MARQ=3476885 | Gene TM=1656542 | Trigger multiplicity=1 | Dead time (%)=36.064854 | Length (min.)=36.000000 | Comments=Couronne 11 | Start Date=03/04/2001 12:51:00 | 
6017 | Events=1210606 | Faraday 1=947889 | Buffers=12108 | Gene DIRECT=8399090 | Gene MARQ=3495894 | Gene TM=1686287 | Trigger multiplicity=1 | Dead time (%)=34.391590 | Length (min.)=30.000000 | Comments=Couronne 11 | Start Date=03/04/2001 13:27:00 | 
6018 | Events=186015 | Faraday 1=949775 | Buffers=1802 | Gene DIRECT=8442591 | Gene MARQ=3497060 | Gene TM=1691843 | Trigger multiplicity=1 | Dead time (%)=34.209534 | Length (min.)=4.000000 | Comments=Couronne 11 | Start Date=03/04/2001 14:01:00 | 
6019 | Events=262184 | Faraday 1=1774 | Buffers=10837 | Gene DIRECT=115128 | Gene MARQ=7477 | Gene TM=41112 | Trigger multiplicity=3 | Dead time (%)=38.190079 | Length (min.)=9.000000 | Start Date=05/04/2001 02:12:00 | 
6020 | Events=243757 | Faraday 1=2026 | Buffers=12115 | Gene DIRECT=132263 | Gene MARQ=6321 | Gene TM=40385 | Trigger multiplicity=4 | Dead time (%)=32.066349 | Length (min.)=12.000000 | 
6830 | Events=215670 | Faraday 1=1858 | Buffers=12117 | Gene DIRECT=145069 | Gene MARQ=9418 | Gene TM=17207 | Trigger multiplicity=4 | Dead time (%)=12.684757 | Length (min.)=13.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6831 | Events=212533 | Faraday 1=1929 | Buffers=12113 | Gene DIRECT=83152 | Gene MARQ=3132 | Gene TM=17136 | Trigger multiplicity=4 | Dead time (%)=21.414646 | Length (min.)=7.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6832 | Events=210993 | Faraday 1=1905 | Buffers=12111 | Gene DIRECT=85244 | Gene MARQ=6263 | Gene TM=16843 | Trigger multiplicity=4 | Dead time (%)=21.325382 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6833 | Events=211562 | Faraday 1=1909 | Buffers=12113 | Gene DIRECT=82794 | Gene MARQ=3132 | Gene TM=16942 | Trigger multiplicity=4 | Dead time (%)=21.267355 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6834 | Events=211298 | Faraday 1=1897 | Buffers=12113 | Gene DIRECT=86662 | Gene MARQ=6265 | Gene TM=16922 | Trigger multiplicity=4 | Dead time (%)=21.048050 | Length (min.)=7.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6835 | Events=212325 | Faraday 1=1921 | Buffers=12111 | Gene DIRECT=82413 | Gene MARQ=3129 | Gene TM=17145 | Trigger multiplicity=4 | Dead time (%)=21.624792 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6836 | Events=211220 | Faraday 1=1907 | Buffers=12116 | Gene DIRECT=83917 | Gene MARQ=6251 | Gene TM=16904 | Trigger multiplicity=4 | Dead time (%)=21.764994 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6837 | Events=212570 | Faraday 1=1930 | Buffers=12114 | Gene DIRECT=88994 | Gene MARQ=3151 | Gene TM=17126 | Trigger multiplicity=4 | Dead time (%)=19.950375 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6838 | Events=211396 | Faraday 1=1788 | Buffers=12060 | Gene DIRECT=98212 | Gene MARQ=6314 | Gene TM=17156 | Trigger multiplicity=4 | Dead time (%)=18.668524 | Length (min.)=8.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6839 | Events=199695 | Faraday 1=1712 | Buffers=10936 | Gene DIRECT=181789 | Gene MARQ=9489 | Gene TM=25349 | Trigger multiplicity=4 | Dead time (%)=14.712130 | Length (min.)=16.000000 | Comments=Arrêt Pb. Vide | Start Date=12 avril 10 H 20 | Logbook=12/149 | 
6840 | Events=1110303 | Faraday 1=1118 | Buffers=12052 | Gene DIRECT=62083 | Gene MARQ=3146 | Gene TM=19290 | Trigger multiplicity=1 | Dead time (%)=32.729862 | Length (min.)=6.000000 | Comments=Disjonction BT Silicium cour. 1 | Start Date=11 H 40 | 
6841 | Events=1123441 | Faraday 1=1139 | Buffers=12050 | Gene DIRECT=64131 | Gene MARQ=3144 | Gene TM=18909 | Trigger multiplicity=1 | Dead time (%)=31.004969 | Length (min.)=6.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6842 | Events=270413 | Faraday 1=4 | Buffers=2126 | Gene DIRECT=25156 | Gene MARQ=0 | Gene TM=4275 | Trigger multiplicity=1 | Dead time (%)=16.993958 | Length (min.)=2.000000 | Comments=Pb faisceau HF | 
6843 | Events=1281138 | Faraday 1=1041 | Buffers=12117 | Gene DIRECT=59771 | Gene MARQ=3163 | Gene TM=21200 | Trigger multiplicity=1 | Dead time (%)=37.450539 | Length (min.)=5.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6844 | Events=1341951 | Faraday 1=898 | Buffers=12115 | Gene DIRECT=57642 | Gene MARQ=3152 | Gene TM=22759 | Trigger multiplicity=1 | Dead time (%)=41.767296 | Length (min.)=6.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6845 | Events=1313184 | Faraday 1=849 | Buffers=12032 | Gene DIRECT=58946 | Gene MARQ=3146 | Gene TM=21557 | Trigger multiplicity=1 | Dead time (%)=38.632618 | Length (min.)=5.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6846 | Events=1320873 | Faraday 1=808 | Buffers=12033 | Gene DIRECT=60462 | Gene MARQ=3142 | Gene TM=22601 | Trigger multiplicity=1 | Dead time (%)=39.429520 | Length (min.)=5.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6847 | Events=1275815 | Faraday 1=813 | Buffers=11711 | Gene DIRECT=56425 | Gene MARQ=3138 | Gene TM=20879 | Trigger multiplicity=1 | Dead time (%)=39.182163 | Length (min.)=5.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6848 | Events=215051 | Faraday 1=1696 | Buffers=12098 | Gene DIRECT=125965 | Gene MARQ=9400 | Gene TM=16712 | Trigger multiplicity=4 | Dead time (%)=14.337065 | Length (min.)=11.000000 | Comments=Disjonction BT Silicium cour. 1 | Start Date=12 H 30 | Logbook=150 | 
6849 | Events=214619 | Faraday 1=1742 | Buffers=12092 | Gene DIRECT=106089 | Gene MARQ=3133 | Gene TM=17251 | Trigger multiplicity=4 | Dead time (%)=16.755701 | Length (min.)=10.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6850 | Events=213045 | Faraday 1=1741 | Buffers=12113 | Gene DIRECT=104121 | Gene MARQ=6264 | Gene TM=16956 | Trigger multiplicity=4 | Dead time (%)=17.327324 | Length (min.)=9.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6851 | Events=95166 | Faraday 1=738 | Buffers=5338 | Gene DIRECT=66321 | Gene MARQ=4966 | Gene TM=7476 | Trigger multiplicity=4 | Dead time (%)=12.184826 | Length (min.)=6.000000 | Comments=Disjonction C0 | 
6852 | Events=212766 | Faraday 1=1797 | Buffers=12111 | Gene DIRECT=97823 | Gene MARQ=6291 | Gene TM=16828 | Trigger multiplicity=4 | Dead time (%)=18.384827 | Length (min.)=9.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6853 | Events=214852 | Faraday 1=1783 | Buffers=12114 | Gene DIRECT=97525 | Gene MARQ=3137 | Gene TM=17098 | Trigger multiplicity=4 | Dead time (%)=18.114592 | Length (min.)=9.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6854 | Events=213421 | Faraday 1=1782 | Buffers=12111 | Gene DIRECT=99371 | Gene MARQ=6277 | Gene TM=16973 | Trigger multiplicity=4 | Dead time (%)=18.232109 | Length (min.)=9.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6855 | Events=160891 | Faraday 1=1334 | Buffers=9160 | Gene DIRECT=78079 | Gene MARQ=6317 | Gene TM=12973 | Trigger multiplicity=4 | Dead time (%)=18.077812 | Length (min.)=7.000000 | Comments=Disjonction BT Silicium cour. 1 | 
6856 | Events=213872 | Faraday 1=1808 | Buffers=12110 | Gene DIRECT=85412 | Gene MARQ=0 | Gene TM=17545 | Trigger multiplicity=4 | Dead time (%)=20.541611 | Length (min.)=8.000000 | 
6857 | Events=213624 | Faraday 1=1804 | Buffers=12112 | Gene DIRECT=84998 | Gene MARQ=0 | Gene TM=17150 | Trigger multiplicity=4 | Dead time (%)=20.176945 | Length (min.)=7.000000 | 
6858 | Events=213794 | Faraday 1=1796 | Buffers=12117 | Gene DIRECT=87112 | Gene MARQ=0 | Gene TM=17683 | Trigger multiplicity=4 | Dead time (%)=20.299154 | Length (min.)=8.000000 | 
6859 | Events=213508 | Faraday 1=1808 | Buffers=12117 | Gene DIRECT=83847 | Gene MARQ=0 | Gene TM=17500 | Trigger multiplicity=4 | Dead time (%)=20.871349 | Length (min.)=8.000000 | 
6860 | Events=212094 | Faraday 1=1774 | Buffers=12112 | Gene DIRECT=88304 | Gene MARQ=3147 | Gene TM=17142 | Trigger multiplicity=4 | Dead time (%)=20.129877 | Length (min.)=7.000000 | 
6861 | Events=213192 | Faraday 1=1777 | Buffers=12114 | Gene DIRECT=90468 | Gene MARQ=3144 | Gene TM=17332 | Trigger multiplicity=4 | Dead time (%)=19.847923 | Length (min.)=8.000000 | Start Date=14 h 33 | Logbook=150 | 
6862 | Events=214265 | Faraday 1=1627 | Buffers=12117 | Gene DIRECT=131923 | Gene MARQ=9413 | Gene TM=16779 | Trigger multiplicity=4 | Dead time (%)=13.696025 | Length (min.)=12.000000 | 
6863 | Events=212899 | Faraday 1=1707 | Buffers=12112 | Gene DIRECT=109792 | Gene MARQ=6324 | Gene TM=17196 | Trigger multiplicity=4 | Dead time (%)=16.619631 | Length (min.)=9.000000 | 
6864 | Events=8132 | Faraday 1=58 | Buffers=441 | Gene DIRECT=6796 | Gene MARQ=0 | Gene TM=836 | Trigger multiplicity=4 | Dead time (%)=12.301353 | Length (min.)=1.000000 | 
6865 | Events=148951 | Faraday 1=1055 | Buffers=8230 | Gene DIRECT=116741 | Gene MARQ=6293 | Gene TM=11362 | Trigger multiplicity=4 | Dead time (%)=10.287194 | Length (min.)=10.000000 | 
6866 | Events=213078 | Faraday 1=1856 | Buffers=12110 | Gene DIRECT=89581 | Gene MARQ=3142 | Gene TM=16792 | Trigger multiplicity=4 | Dead time (%)=19.426416 | Length (min.)=8.000000 | 
6867 | Events=210088 | Faraday 1=1879 | Buffers=12114 | Gene DIRECT=86276 | Gene MARQ=6321 | Gene TM=17017 | Trigger multiplicity=4 | Dead time (%)=21.283222 | Length (min.)=8.000000 | 
6868 | Events=212080 | Faraday 1=1866 | Buffers=12111 | Gene DIRECT=91659 | Gene MARQ=3149 | Gene TM=17042 | Trigger multiplicity=4 | Dead time (%)=19.254322 | Length (min.)=8.000000 | 
6869 | Events=210383 | Faraday 1=1833 | Buffers=12059 | Gene DIRECT=94424 | Gene MARQ=6285 | Gene TM=17038 | Trigger multiplicity=4 | Dead time (%)=19.330830 | Length (min.)=9.000000 | 
6870 | Events=827464 | Faraday 1=1014 | Buffers=12109 | Gene DIRECT=133812 | Gene MARQ=6338 | Gene TM=22785 | Trigger multiplicity=1 | Dead time (%)=17.874233 | Length (min.)=12.000000 | Start Date=16 h 23 | Logbook=151 | 
6871 | Events=813593 | Faraday 1=1027 | Buffers=11997 | Gene DIRECT=132517 | Gene MARQ=9444 | Gene TM=22476 | Trigger multiplicity=1 | Dead time (%)=18.262333 | Length (min.)=12.000000 | 
6872 | Events=822026 | Faraday 1=1016 | Buffers=12110 | Gene DIRECT=133180 | Gene MARQ=6309 | Gene TM=22665 | Trigger multiplicity=1 | Dead time (%)=17.864603 | Length (min.)=12.000000 | 
6873 | Events=819474 | Faraday 1=1043 | Buffers=12110 | Gene DIRECT=128827 | Gene MARQ=6332 | Gene TM=22676 | Trigger multiplicity=1 | Dead time (%)=18.511776 | Length (min.)=11.000000 | 
6874 | Events=791539 | Faraday 1=1029 | Buffers=11757 | Gene DIRECT=115418 | Gene MARQ=6335 | Gene TM=21415 | Trigger multiplicity=1 | Dead time (%)=19.631840 | Length (min.)=11.000000 | 
6875 | Events=212168 | Faraday 1=1783 | Buffers=12028 | Gene DIRECT=95112 | Gene MARQ=6321 | Gene TM=17003 | Trigger multiplicity=4 | Dead time (%)=19.149464 | Length (min.)=9.000000 | Start Date=17 h 20 | Logbook=151 | 
6876 | Events=212283 | Faraday 1=1758 | Buffers=12113 | Gene DIRECT=99974 | Gene MARQ=6319 | Gene TM=17051 | Trigger multiplicity=4 | Dead time (%)=18.206182 | Length (min.)=9.000000 | 
6877 | Events=212437 | Faraday 1=1770 | Buffers=12113 | Gene DIRECT=98609 | Gene MARQ=6333 | Gene TM=17168 | Trigger multiplicity=4 | Dead time (%)=18.605055 | Length (min.)=9.000000 | 
6878 | Events=213540 | Faraday 1=1789 | Buffers=12110 | Gene DIRECT=95896 | Gene MARQ=3160 | Gene TM=16906 | Trigger multiplicity=4 | Dead time (%)=18.230246 | Length (min.)=8.000000 | 
6879 | Events=212072 | Faraday 1=1781 | Buffers=12113 | Gene DIRECT=96941 | Gene MARQ=6360 | Gene TM=16873 | Trigger multiplicity=4 | Dead time (%)=18.627527 | Length (min.)=9.000000 | 
6880 | Events=213049 | Faraday 1=1770 | Buffers=12112 | Gene DIRECT=100374 | Gene MARQ=6328 | Gene TM=16811 | Trigger multiplicity=4 | Dead time (%)=17.875296 | Length (min.)=9.000000 | 
6881 | Events=215042 | Faraday 1=1741 | Buffers=12114 | Gene DIRECT=121798 | Gene MARQ=6339 | Gene TM=16798 | Trigger multiplicity=4 | Dead time (%)=14.548887 | Length (min.)=11.000000 | Comments=Problème de faisceau | 
6882 | Events=213126 | Faraday 1=1757 | Buffers=12117 | Gene DIRECT=99522 | Gene MARQ=6309 | Gene TM=17076 | Trigger multiplicity=4 | Dead time (%)=18.319334 | Length (min.)=9.000000 | 
6883 | Events=212916 | Faraday 1=1756 | Buffers=12112 | Gene DIRECT=102167 | Gene MARQ=6315 | Gene TM=16617 | Trigger multiplicity=4 | Dead time (%)=17.336102 | Length (min.)=9.000000 | 
6884 | Events=216837 | Faraday 1=1724 | Buffers=12109 | Gene DIRECT=136675 | Gene MARQ=6315 | Gene TM=17230 | Trigger multiplicity=4 | Dead time (%)=13.217244 | Length (min.)=8.000000 | 
6885 | Events=214155 | Faraday 1=1705 | Buffers=12110 | Gene DIRECT=115159 | Gene MARQ=6316 | Gene TM=17005 | Trigger multiplicity=4 | Dead time (%)=15.623421 | Length (min.)=11.000000 | 
6886 | Events=214486 | Faraday 1=1721 | Buffers=12110 | Gene DIRECT=113674 | Gene MARQ=6313 | Gene TM=16903 | Trigger multiplicity=4 | Dead time (%)=15.744079 | Length (min.)=10.000000 | 
6887 | Events=215696 | Faraday 1=1700 | Buffers=12110 | Gene DIRECT=122937 | Gene MARQ=6329 | Gene TM=16879 | Trigger multiplicity=4 | Dead time (%)=14.474993 | Length (min.)=11.000000 | 
6888 | Events=214204 | Faraday 1=1662 | Buffers=12112 | Gene DIRECT=129658 | Gene MARQ=9477 | Gene TM=16924 | Trigger multiplicity=4 | Dead time (%)=14.082093 | Length (min.)=12.000000 | 
6889 | Events=213785 | Faraday 1=1788 | Buffers=12113 | Gene DIRECT=94258 | Gene MARQ=3160 | Gene TM=17142 | Trigger multiplicity=4 | Dead time (%)=18.817099 | Length (min.)=10.000000 | 
6890 | Events=194121 | Faraday 1=1636 | Buffers=11052 | Gene DIRECT=95494 | Gene MARQ=6314 | Gene TM=15414 | Trigger multiplicity=4 | Dead time (%)=17.284145 | Length (min.)=9.000000 | Comments=Pb faisceau HF | 
6891 | Events=215242 | Faraday 1=1794 | Buffers=12030 | Gene DIRECT=95376 | Gene MARQ=3824 | Gene TM=16900 | Trigger multiplicity=4 | Dead time (%)=18.459455 | Length (min.)=9.000000 | 
6892 | Events=212852 | Faraday 1=1772 | Buffers=12030 | Gene DIRECT=100026 | Gene MARQ=6319 | Gene TM=17177 | Trigger multiplicity=4 | Dead time (%)=18.330542 | Length (min.)=9.000000 | Comments=Pb faisceau HF | 
6893 | Events=212909 | Faraday 1=1821 | Buffers=12092 | Gene DIRECT=83128 | Gene MARQ=3165 | Gene TM=17082 | Trigger multiplicity=4 | Dead time (%)=21.362381 | Length (min.)=7.000000 | 
6894 | Events=211800 | Faraday 1=1827 | Buffers=12078 | Gene DIRECT=85375 | Gene MARQ=6031 | Gene TM=17112 | Trigger multiplicity=4 | Dead time (%)=21.566849 | Length (min.)=8.000000 | 
6895 | Events=212276 | Faraday 1=1854 | Buffers=12071 | Gene DIRECT=80479 | Gene MARQ=3172 | Gene TM=17288 | Trigger multiplicity=4 | Dead time (%)=22.362787 | Length (min.)=7.000000 | 
6896 | Events=210886 | Faraday 1=1843 | Buffers=12079 | Gene DIRECT=85008 | Gene MARQ=6309 | Gene TM=17255 | Trigger multiplicity=4 | Dead time (%)=21.925310 | Length (min.)=8.000000 | 
6897 | Events=212018 | Faraday 1=1747 | Buffers=12086 | Gene DIRECT=94835 | Gene MARQ=6337 | Gene TM=17022 | Trigger multiplicity=4 | Dead time (%)=19.234333 | Length (min.)=8.000000 | 
6898 | Events=214287 | Faraday 1=1772 | Buffers=12112 | Gene DIRECT=91708 | Gene MARQ=3156 | Gene TM=17130 | Trigger multiplicity=4 | Dead time (%)=19.344566 | Length (min.)=8.000000 | 
6899 | Events=212633 | Faraday 1=1754 | Buffers=12114 | Gene DIRECT=93994 | Gene MARQ=6321 | Gene TM=17247 | Trigger multiplicity=4 | Dead time (%)=19.671963 | Length (min.)=8.000000 | 
6900 | Events=213000 | Faraday 1=1760 | Buffers=12110 | Gene DIRECT=93154 | Gene MARQ=6314 | Gene TM=16926 | Trigger multiplicity=4 | Dead time (%)=19.491018 | Length (min.)=9.000000 | 
6901 | Events=213785 | Faraday 1=1772 | Buffers=12114 | Gene DIRECT=91290 | Gene MARQ=3159 | Gene TM=17222 | Trigger multiplicity=4 | Dead time (%)=19.541365 | Length (min.)=8.000000 | 
6902 | Events=212707 | Faraday 1=1757 | Buffers=12110 | Gene DIRECT=94632 | Gene MARQ=6226 | Gene TM=17094 | Trigger multiplicity=4 | Dead time (%)=19.335793 | Length (min.)=8.000000 | 
6903 | Events=212598 | Faraday 1=1756 | Buffers=12110 | Gene DIRECT=95663 | Gene MARQ=6321 | Gene TM=17239 | Trigger multiplicity=4 | Dead time (%)=19.295517 | Length (min.)=9.000000 | 
6904 | Events=210558 | Faraday 1=1729 | Buffers=11864 | Gene DIRECT=93617 | Gene MARQ=3163 | Gene TM=16788 | Trigger multiplicity=4 | Dead time (%)=18.559710 | Length (min.)=8.000000 | 
6905 | Events=213354 | Faraday 1=1916 | Buffers=12110 | Gene DIRECT=109243 | Gene MARQ=6323 | Gene TM=26782 | Trigger multiplicity=4 | Dead time (%)=26.022154 | Length (min.)=8.000000 | Start Date=21 h 58 | Logbook=151 | 
6906 | Events=213364 | Faraday 1=1725 | Buffers=12110 | Gene DIRECT=100084 | Gene MARQ=6307 | Gene TM=16939 | Trigger multiplicity=4 | Dead time (%)=18.063065 | Length (min.)=8.000000 | 
6907 | Events=213964 | Faraday 1=1730 | Buffers=12111 | Gene DIRECT=103680 | Gene MARQ=6334 | Gene TM=17401 | Trigger multiplicity=4 | Dead time (%)=17.875414 | Length (min.)=9.000000 | 
6908 | Events=213742 | Faraday 1=1740 | Buffers=12108 | Gene DIRECT=98692 | Gene MARQ=3928 | Gene TM=16951 | Trigger multiplicity=4 | Dead time (%)=17.887594 | Length (min.)=9.000000 | 
6909 | Events=218486 | Faraday 1=1561 | Buffers=12109 | Gene DIRECT=149337 | Gene MARQ=8295 | Gene TM=16717 | Trigger multiplicity=4 | Dead time (%)=11.852498 | Length (min.)=13.000000 | 
6910 | Events=213396 | Faraday 1=1745 | Buffers=12111 | Gene DIRECT=98940 | Gene MARQ=6317 | Gene TM=17107 | Trigger multiplicity=4 | Dead time (%)=18.469494 | Length (min.)=9.000000 | 
6911 | Events=176542 | Faraday 1=1388 | Buffers=9937 | Gene DIRECT=96790 | Gene MARQ=6321 | Gene TM=14002 | Trigger multiplicity=4 | Dead time (%)=15.477125 | Length (min.)=9.000000 | Comments=Dijonction HT  chassis 1  C 1-3 | 
6912 | Events=212657 | Faraday 1=1754 | Buffers=12111 | Gene DIRECT=93724 | Gene MARQ=6320 | Gene TM=17024 | Trigger multiplicity=4 | Dead time (%)=19.477369 | Length (min.)=8.000000 | 
6913 | Events=213596 | Faraday 1=1696 | Buffers=12112 | Gene DIRECT=104095 | Gene MARQ=6312 | Gene TM=16981 | Trigger multiplicity=4 | Dead time (%)=17.366005 | Length (min.)=9.000000 | 
6914 | Events=214136 | Faraday 1=1704 | Buffers=12088 | Gene DIRECT=100162 | Gene MARQ=3666 | Gene TM=17177 | Trigger multiplicity=4 | Dead time (%)=17.800737 | Length (min.)=9.000000 | 
6915 | Events=213342 | Faraday 1=1725 | Buffers=12112 | Gene DIRECT=95698 | Gene MARQ=5396 | Gene TM=16867 | Trigger multiplicity=4 | Dead time (%)=18.678434 | Length (min.)=9.000000 | 
6916 | Events=212776 | Faraday 1=1743 | Buffers=12116 | Gene DIRECT=98159 | Gene MARQ=6324 | Gene TM=17820 | Trigger multiplicity=4 | Dead time (%)=19.404367 | Length (min.)=9.000000 | 
6917 | Events=216628 | Faraday 1=1735 | Buffers=12112 | Gene DIRECT=129307 | Gene MARQ=6311 | Gene TM=17107 | Trigger multiplicity=4 | Dead time (%)=13.908583 | Length (min.)=11.000000 | 
6918 | Events=214177 | Faraday 1=1750 | Buffers=12116 | Gene DIRECT=102781 | Gene MARQ=6334 | Gene TM=17159 | Trigger multiplicity=4 | Dead time (%)=17.791119 | Length (min.)=8.000000 | 
6919 | Events=214250 | Faraday 1=1716 | Buffers=12109 | Gene DIRECT=107391 | Gene MARQ=6312 | Gene TM=17097 | Trigger multiplicity=4 | Dead time (%)=16.914494 | Length (min.)=9.000000 | 
6920 | Events=214083 | Faraday 1=1740 | Buffers=12089 | Gene DIRECT=105127 | Gene MARQ=6327 | Gene TM=17580 | Trigger multiplicity=4 | Dead time (%)=17.793522 | Length (min.)=10.000000 | 
6921 | Events=214035 | Faraday 1=1746 | Buffers=12112 | Gene DIRECT=100624 | Gene MARQ=6319 | Gene TM=17281 | Trigger multiplicity=4 | Dead time (%)=18.324585 | Length (min.)=9.000000 | 
6922 | Events=215561 | Faraday 1=1746 | Buffers=12117 | Gene DIRECT=98635 | Gene MARQ=3165 | Gene TM=17284 | Trigger multiplicity=4 | Dead time (%)=18.104116 | Length (min.)=9.000000 | 
6923 | Events=213410 | Faraday 1=1783 | Buffers=12114 | Gene DIRECT=96017 | Gene MARQ=6312 | Gene TM=16916 | Trigger multiplicity=4 | Dead time (%)=18.857367 | Length (min.)=9.000000 | 
6924 | Events=213751 | Faraday 1=1745 | Buffers=12110 | Gene DIRECT=99494 | Gene MARQ=6327 | Gene TM=16892 | Trigger multiplicity=4 | Dead time (%)=18.130884 | Length (min.)=9.000000 | 
6925 | Events=213513 | Faraday 1=1791 | Buffers=12110 | Gene DIRECT=94388 | Gene MARQ=6322 | Gene TM=16911 | Trigger multiplicity=4 | Dead time (%)=19.202644 | Length (min.)=9.000000 | 
6926 | Events=214302 | Faraday 1=1750 | Buffers=12111 | Gene DIRECT=96205 | Gene MARQ=3164 | Gene TM=16949 | Trigger multiplicity=4 | Dead time (%)=18.216700 | Length (min.)=9.000000 | 
6927 | Events=213744 | Faraday 1=1750 | Buffers=12111 | Gene DIRECT=97755 | Gene MARQ=6313 | Gene TM=16747 | Trigger multiplicity=4 | Dead time (%)=18.314341 | Length (min.)=9.000000 | 
6928 | Events=214248 | Faraday 1=1750 | Buffers=12109 | Gene DIRECT=98880 | Gene MARQ=6325 | Gene TM=17008 | Trigger multiplicity=4 | Dead time (%)=18.376101 | Length (min.)=9.000000 | 
