#
#INDRA 94    Ni+Au 32 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
264	1312	5979	2136896	10380	84841	205039	10640	43,64	628,40	M>=1	Au	 M>=1 C1-5, HT cible 30 kV		
315	1369	8956	415736	10501	50077	118887	5343	44,10	80,80	M>=4	Ni	Ni+Ni 74 MeV/A	
316	1370	9763	413986	10506	55718	119380	5343	48,86	80,84	M>=4	Ni	Ni+Ni 74 MeV/A	
317	1371	5939	417316	10440	34823	176623	10687	20,99	83,97	M>=4	Ni	Ni+Ni 74 MeV/A	
318	1372	6200	418445	10476	34188	168934	8015	21,25	81,09	M>=4	Ni	Ni+Ni 74 MeV/A	
319	1373	6221	414300	10404	33757	165594	8015	21,42	80,26	M>=4	Ni	Ni+Ni 74 MeV/A
320	1374	6152	411149	10394	34182	169247	10685	21,56	80,62	M>=4	Ni	Ni+Ni 74 MeV/A
321	1375	6366	408225	10292	38484	174410	8016	23,13	78,78	M>=4	Ni	Ni+Ni 74 MeV/A
322	1376	6136	568622	10469	41025	190905	8017	22,43	114,18	M>=1	Ni	M>=1 C1-5, Ni+Ni 74 MeV/A
#												
# 												
# 						Cumul :	6 238 003					
# 						6% :	374 280					
# 												
#
#INDRA 94    Ni+Ni 82 A.MeV  cible 179 µ					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB
469	1538	6936	414107	10397	33555	283598	13541	12,43	61,26	M>=4	Ni	HT cible 30kV  I=0,5
470	1539	6922	428650	10670	34640	333044	16250	10,93	61,40	M>=4	Ni	I=0,5 nA
471	1540	7956	411463	10490	34392	170613	9347	21,33	62,14	M>=4	Ni	I=0,9 nA
472	1541	8044	416730	10653	34475	171712	8125	21,07	62,03	M>=4	Ni	I=0,9 nA
473	1542	8004	416721	10602	34527	176777	8124	20,47	61,73	M>=4	Ni	I=0,9 nA
474	1543	7970	413607	10562	34454	172972	8125	20,90	61,94	M>=4	Ni	I=0,9 nA
475	1544	7777	406034	10398	33009	175092	10832	20,10	61,59	M>=4	Ni	I=0,9 nA
476	1545	7841	416408	10645	34382	189696	10831	19,22	61,69	M>=4	Ni	I=0,8 nA
477	1546	7701	422286	10720	34485	211781	10831	17,16	61,56	M>=4	Ni	I=0,8 nA
478	1547	6989	386239	9786	31976	203308	10831	16,61	61,39	M>=4	Ni	I=0,8 nA
479	1548	7757	416851	10614	33884	197403	10830	18,16	61,39	M>=4	Ni	I=0,8 nA
480	1549	7468	418871	10612	34135	232411	13538	15,60	61,25	M>=4	Ni	I=0,8 nA
481	1550	7291	419280	10509	33970	285118	13537	12,51	59,12	M>=4	Ni	I=0,7 nA
482	1551	3410	1901323	10599	96074	287377	13535	35,08	844,66	M>=1	Ni	I=0,7-0,2 nA
483	1552	5957	436826	10399	34760	698629	37898	5,26	57,71	M>=4	Ni	I=0,2 nA
484	1553	6070	436226	10506	34639	569493	29776	6,42	61,01	M>=4	Ni	I=0,2 nA
485	1554	6238	432859	10481	34700	525300	27878	6,98	60,44	M>=4	Ni	I=0,2 nA
486	1555	6116	441618	10574	34858	606203	32493	6,08	60,23	M>=4	Ni	I=0,2 nA
#
#
#						Cumul :	1 747 529					
#						6% :	104 852					
#						Total :	7 134 776					
#						6% :	428 087					
#												
#
#INDRA 94    Ni+Ni  90 A.MeV  cible 179 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB
405	1469	6961	411818	10699	33557	173098	8212	20,35	70,07	M>=4	Ni	HT cible 30 kV
406	1470	6952	405455	10552	33491	166102	8117	21,20	69,98	M>=4	Ni	HT cible 30 kV
407	1471	8076	400000	10775	33855	191574	10819	18,73	28,75	M>=4	Ni Fin de bande, RAZ OFF
408	1472	8864	405251	10548	75732	213973	10811	37,28	68,82	M>=4	Ni RAZ des échelles OFF
409	1473	7411	400668	10443	33245	182197	8110	19,10	62,66	M>=4	Ni idem
410	1474	7279	405524	10515	33865	190256	10808	18,87	64,29	M>=4	Ni idem
411	1475	9228	402227	10459	73829	261087	13516	29,82	57,35	M>=4	Ni idem
412	1476	7467	399051	10447	33094	185509	10820	18,94	61,78	M>=4	Ni idem
413	1477	13909	409165	10669	33902	330470	16211	10,79	28,96	M>=4	Ni idem
414	1478	7617	403098	10532	33333	188513	10820	18,76	61,00	M>=4	Ni idem
415	1479	7259	377111	9777	47163	177703	8117	27,81	67,82	M>=4	Ni idem
416	1480	9336	195175	5061	163113	301253	16206	57,22	43,45	M>=4	Ni idem
xxx	1481	3546	146806	3828	34007	103752	5409	34,58	58,36	M>=4	Ni idem
xxx	1482	1160	61411		1581	5378	116312	5403	4,85	38,67	M>=4	Ni idem
417	1483	7249	402994	10457	55408	208234	10820	28,07	72,45	M>=4	Ni idem
418	1484	5081	577840	3665	40126	116898	5406	35,99	173,77	M>=1	Ni idem
xxx	1485	4654	1048615	6697	65617	109034	5404	63,32	610,29	M>=1	Ni idem
454	1521	6667	408719	10537	33445	190423	10807	18,62	70,55	M>=4	Ni	HT cible 30kV  I=0,6
455	1522	6771	411679	10610	34247	181188	8107	19,79	71,26	M>=4	Ni	I= 0,7 nA
456	1523	6626	413416	10613	33820	203166	10807	17,58	70,55	M>=4	Ni	I= 0,7 nA
457	1524	6507	413952	10583	34043	220833	10813	16,21	70,19	M>=4	Ni	I= 0,7 nA
458	1525	6465	410193	10531	33810	215776	13513	16,72	70,63	M>=4	Ni	I= 0,7 nA
459	1526	6544	417103	10648	33799	223854	10804	15,86	69,98	M>=4	Ni	I= 0,6 nA
460	1527	6429	415328	10612	33905	240946	13486	14,91	69,64	M>=4	Ni	I= 0,6 nA
461	1528	6880	412998	10653	34182	182774	10790	19,88	70,48	M>=4	Ni	I= 0,6 nA
462	1529	6504	412482	10574	33680	223950	13486	16,00	69,76	M>=4	Ni	I= 0,6 nA
463	1530	3337	249852	6111	19972	994173	51252	2,12	26,33	M>=4	Ni	I= 0,6 nA
463	1531	4607	174090	4522	69617	147812	8091	49,83	69,93	M>=4	Ni	I=0,6 nA  TM Faux
464	1532	5954	228426	5893	76884	171552	10597	47,77	68,65	M>=4	Ni	I=0,6 nA  TM Faux
464	1533	3786	178853	444	36499	104529	5395	36,82	70,12	M>=4	Ni	I=0,6 nA
465	1534	6476	344016	8835	59486	217890	10794	28,72	68,85	M>=4	Ni	I=0,6 nA
466	1535	7224	416150	10661	52906	233108	10794	23,80	70,13	M>=4	Ni	I=0,6 nA
467	1536	6669	430576	10578	138180	615212	32408	23,71	69,12	M>=4	Ni	I=0,2 nA
468	1537	4938	437587	10371	37887	711726	37887	5,62	69,67	M>=4	Ni	I=0,1 nA
#												
#						Cumul :	6 175 420					
#						6% :	370 525					
#												
#
#INDRA 94 : Ta+Au 33 MeV/A							Vendredi 01 Decembre 1995
#																	
Tape	Run	FAR	MFI	Events	Blocs	G. TM	G. dir	G. marq	TM %	M/F	Trigger	Cible	Evt/far	NB			
#	1044	inexistant										       	inexistant			
041	1045	9409		1469549	10516	75475	388129	34158	21,32	0	M>=1	Au	191,83	cible 30 kv			
042	1046			0							M>=8	Au		Bout de bande			
043	1047	10594		226479	8640	37859	129320	5453	30,56	0	M>=8	Au	28,71	
044	1048	12391		267103	10550	25971	176796	39449	18,91	0	M>=8	Au	24,62	
045	1049	10616		282338	10557	27976	235737	9513	12,37	0	M>=8	Au	26,57	
046	1050	11785		281179	10747	27701	178916	19145	17,34	0	M>=8	Au	26,46	
047	1051	11132		277668	10457	27355	130726	5451	21,84	0	M>=8	Au	29,91	
048	1052	11552		279433	10484	27520	119433	5510	24,16	0	M>=8	Au	30,14	
049	1053	11054		281203	10544	27365	132222	8176	22,06	0	M>=8	Au	30,65	
050	1054	10705		275813	10309	27311	159346	8175	18,07	0	M>=8	Au	28,94	
051	1055	9967		291789	10675	28609	218835	0	13,07	0	M>=8	Au	29,78	
052	1056	10300		280233	10629	27485	235829	16020	12,50	0	M>=8	Au	27,31	
053	1057	10047		286804	10636	28281	182269	5272	15,98	0	M>=8	Au	30,85	
054	1058	9982		284684	10696	28370	185997	12607	16,36	0	M>=8	Au	31,02	
055	1059	9421		271454	10217	28485	192661	10555	15,64	0	M>=8	Au	30,73	
056	1060	10002		286321	10735	30144	187448	10557	17,04	0	M>=8	Au	31,37	
057	1061	10208		286960	10777	30334	168917	7918	18,84	0	M>=8	Au	31,84	
058	1062			0	10775						M>=8	Au		
059	1063	9985		279611	10424	29193	157292	7920	19,54	0	M>=8	Au	32,15	
060	1064	9975		278430	10373	27761	148992	7924	19,68	0	M>=8	Au	32,24	
061	1065	9736		276200	10348	27219	152546	7925	18,82	0	M>=8	Au	32,31	
062	1066	9795		277224	10333	27037	152686	7925	18,68	0	M>=8	Au	32,18	
063	1067	9837		276376	10343	27223	153725	7921	18,67	0	M>=8	Au	31,91	
064	1068	10224		276449	10399	32792	159325	7919	21,66	0	M>=8	Au	31,89	
065	1069	10037		277178	10412	27676	140062	5280	20,53	0	M>=8	Au	32,37	
066	1070	9699		275782	10313	28708	171035	7920	17,60	0	M>=8	Au	31,52	
067	1071	9680		275715	10376	27091	163013	9821	17,68	0	M>=8	Au	31,79	
068	1072	9953		273164	10329	31545	186247	10557	17,95	0	M>=8	Au	30,32	
069	1073	8825		259198	10248	27618	390450	21115	7,48	0	M>=8	Au	24,32	
070	1074	9064		259326	10285	27434	328067	15841	8,79	0	M>=8	Au	25,25	
071	1075	9384		260961	10298	27625	289758	13200	9,99	0	M>=8	Au	25,66	
#														
# 			cumul :	7 705 075										
#			6%=	462 305										
#														
#
#INDRA 94 : Ta+Au 39 MeV/A							Vendredi 01 Decembre 1995
#
Tape	Run	FAR	MFI	Events	Blocs	G. TM	G. dir	G. marq	TM %	M/F	Trigger	Cible	Evtphy/far	NB																																																						
104	1114	6040		1007873	10569	59275	263811	13221	23,65		M>=1	Au	211,20	HT Cible 30,1Kv																																																						
105	1115	1062		41874	1624	4470	84840	2643	5,44		M>=8	Au	27,96																																																							
105	1116	6026		229755	8850	22538	256554	13219	9,26		M>=8	Au	34,85																																																							
106	1117	7363		272554	10515	27474	262456	13220	11,02		M>=8	Au	35,59																																																							
107	1118	7380		274290	10548	27559	267179	13218	10,85		M>=8	Au	35,58																																																							
108	1119	7337		272867	10518	27677	260514	13215	11,19		M>=8	Au	35,89																																																							
109	1120	7361		274316	10562	27398	269556	13208	10,69		M>=8	Au	35,54																																																							
110	1121	7480		277641	10724	27546	268183	13207	10,80		M>=8	Au	35,56																																																							
111	1122	7812		276147	10625	27601	201360	10564	14,47		M>=8	Au	36,99																																																							
112	1123	7772		276086	10626	27472	316000	15846	9,15		M>=8	Au	32,25																																																							
113	1124	7787		275430	10548	27784	196753	10562	14,92		M>=8	Au	37,33																																																							
114	1125	7618		276307	10521	27505	216270	10562	13,37		M>=8	Au	37,08																																																							
115	1126	7391		275480	10486	27471	244202	11942	11,83		M>=8	Au	36,69																																																							
116	1127	7394		280112	10701	28362	278695	13207	10,68		M>=8	Au	36,04																																																							
117	1128	15271		276667	10537	75549	614824	31696	12,96		M>=8	Au	14,04																																																							
118	1129	19088		113629	4355	86606	908314	45425	10,04		M>=8	Au	-1,41																																																							
118	1130	23868		159020	6139	102399	1497308	76599	7,21		M>=8	Au	-3,39																																																							
119	1131	31744		276478	10607	130164	1818545	92459	7,54		M>=8	Au	-0,23																																																							
120	1132	37757		214496	8183	172831	2097318	108319	8,69		M>=8	Au	-3,13																																																							
#																																																																				
#				cumul :	4 128 653												
#				6%=	247 719												
#
#
#INDRA 94 : Ta+U 33 MeV/A							Vendredi 01 Decembre 1995
#															
Tape	Run	FAR	MFI	Events	Blocs	G. TM	G. dir	G. marq	TM %	M/F	Trigger	Cible	Evtphy/far	NB
019	1020	11443		1147059	10770	63669	223502	30082	32,92	0	M>=1	U	146,43	32 kv cible	
020	1021	10489		486371	10712	36437	197184	18125	20,35	0	M>=8	U	55,19	33,1 kv							
021	1022	9940		480061	10683	36632	231004	23608	17,66	0	M>=8	U	54,95	34 kv							
022	1023	6598		372085	9078	28276	1153804	109428	2,71	0	M>=8	U	29,86								
023	1024	9288		483355	10638	41957	265812	29053	17,72	0	M>=8	U	58,72								
024	1025	9253		475789	10488	36289	215327	23770	18,94	0	M>=8	U	59,76								
025	1026	9830		479317	10564	36847	184993	18488	22,13	0	M>=8	U	59,61								
026	1027	9659		477717	10523	36672	200027	21129	20,50	0	M>=8	U	58,92								
027	1028	9530		481416	10628	36749	246865	23511	16,45	0	M>=8	U	56,30								
028	1029	9472		468428	10485	36939	337580	34335	12,18	0	M>=8	U	50,63								
029	1030	8981		484524	10663	36495	192739	18488	20,94	0	M>=8	U	64,80								
030	1031	8652		485036	10647	37217	210942	21127	19,61	0	M>=8	U	65,84								
031	1032	8893		484325	10648	38613	235246	23768	18,26	0	M>=8	U	62,41								
032	1033	9048		485797	10677	37324	201894	18827	20,39	0	M>=8	U	63,85								
033	1034	9222		483004	10627	36726	203666	21122	20,12	0	M>=8	U	62,05								
034	1035	9385		482883	10635	38021	212961	21122	19,82	0	M>=8	U	60,54								
035	1036	1532		81543	1864	6430	99989	10562	7,19	0	M>=8	U	46,99								
035	1037	7570		399328	8777	30421	306496	18480	10,56	0	M>=8	U	52,23								
036	1038	8919		481440	10627	36654	354690	31525	11,34	0	M>=8	U	54,45								
037	1039	9030		484000	10656	36845	255628	23754	15,89	0	M>=8	U	59,17								
038	1040	10246		490624	10638	37481	230738	0	16,24	0	M>=8	U	53,17				
039	1041	1793		57770	1278	4513	45905	2642	10,43	0	M>=8	U	31,69				
039	1042	8594		423730	9382	32559	265754	26406	13,60	0	M>=8	U	52,12				
040	1043	11089		325561	7236	173239	324581	34322	59,68	0	M>=8	U	68,18				
#				 													
#			cumul :	9 854 104													
#			6%=	591 246													
#																	
#
#INDRA 94 : Ta+U 39 MeV/A							Vendredi 01 Decembre 1995
#														
Tape	Run	FAR	MFI	Events	Blocs	G. TM	G. dir	G. marq	TM %	M/F	Trigger	Cible	Evtphy/far	NB
077	1083	9271		901568	10462	54472	217828	10592	26,29	M>=1	U	127,95																																																							
078	1084	2026		128627	2949	9875	86253		2648	11,81	M>=8	U	64,67																																																							
078	1085	5460		331357	7554	25899	153694	7943	17,77	M>=8	U	69,06																																																							
079	1086	7584		458719	10484	35987	205868	10590	18,43	M>=8	U	69,58																																																							
080	1087	7331		455447	10475	35470	232142	13234	16,20	M>=8	U	68,84																																																							
081	1088	7399		461245	10581	35984	246424	13228	15,43		M>=8	U	68,12																																																							
082	1089	7417		458852	10542	36536	328108	15872	11,70		M>=8	U	62,59																																																							
083	1090	7430		453775	10568	34744	457595	23804	8,01		M>=8	U	56,03																																																							
084	1091	5341		321964	7388	25221	199393	10578	13,36		M>=8	U	63,30																																																							
084	1092	2330		139483	3149	10931	80896		4486	14,31		M>=8	U	64,04																																																							
085	1093	7770		459228	10544	35061	232209	13222	16,01		M>=8	U	65,37																																																							
086	1094	7888		463373	10585	36352	213410	10580	17,92		M>=8	U	67,01																																																							
087	1095	7307		456210	10516	35934	322065	15865	11,74		M>=8	U	63,30																																																							
088	1096	7150		453539	10495	34963	340287	18509	10,87		M>=8	U	63,18																																																							
089	1097	7177		453542	10472	35424	305085	15863	12,25		M>=8	U	64,86																																																							
090	1098	7072		454719	10491	35602	259635	13220	14,45		M>=8	U	68,97																																																							
091	1099	6760		456613	10480	35884	269960	13222	13,98		M>=8	U	71,78																																																							
092	1100	6945		452267	10371	35058	200156	10578	18,49		M>=8	U	75,05																																																							
093	1101	7182		458293	10518	35545	190384	10577	19,77		M>=8	U	75,09																																																							
094	1102	7155		456797	10477	35487	198639	10575	18,87		M>=8	U	74,03																																																							
#	1103			0										Run 1103 ecrase
095	1104	7366		464686	10665	35847	220117	10581	17,11		M>=8	U	71,06																																																							
096	1105	7169		456075	10453	35946	218557	10983	17,32		M>=8	U	71,80																																																							
097	1106	7177		460789	10547	35568	220362	10580	16,95		M>=8	U	72,12																																																							
098	1107	6957		455652	10423	35436	233113	10578	15,92		M>=8	U	72,22																																																							
099	1108	7073		453163	10452	35000	230189	13224	16,13		M>=8	U	70,95																																																							
100	1109	7101		458325	10522	35427	247695	13226	15,11		M>=8	U	70,17																																																							
101	1110	7015		459234	10565	36223	268070	13225	14,21		M>=8	U	69,86																																																							
102	1111	3952		267412	6194	20753	193035	10580	11,37		M>=8	U	68,15																																																							
102	1112	2506		182463	4283	13996	208083	10579	7,09		M>=8	U	64,37																																																							
103	1113	6391		448133	10409	35413	377044	18566	9,88		M>=8	U	67,85																																																							
#																																																																				
#				cumul :	11 879 982																																																															
#				6%=	712 799																																																															
#																																																																				
#																
#INDRA 94 : 238 U + 238 U 24 MeV/A							Vendredi 01 Decembre 1995
#																
Tape	Run	FAR	MFI	Events	Blocs	G. TM	G. dir	G. marq	TM %	M/F	Trigger	Cible	Evt/far	.
138	1170	2959		595334	10617	42041	471271	96077	11,21	0	M>=8	U	219,08			
139	1171	3297		580939	10605	41668	616477	125375	8,485	0	M>=8	U	183,72			
140	1172	3093		444023	8301	32663	649964	133163	6,32	0	M>=8	U	143,36			
141	1173	4808		556365	10508	39736	808622	164737	6,171	0	M>=8	U	115,40			
142	1174	1746		1497459	9928	75741	259207	42439	34,94	0	M>=1	U	1310,92			
143	1175	4397		533321	9908	37897	600593	132915	8,103	0	M>=8	U	125,69			
144	1176	5825		563875	9701	40678	970152	49919	4,42	0	M>=8	U	91,93			
145	1177	5275		583915	10637	41521	437952	23949	10,03	0	M>=8	U	118,39			
146	1178	5052		577568	10570	41169	505583	26665	8,596	0	M>=8	U	119,47			
147	1179	4915		575233	10380	41015	423638	21351	10,2	0	M>=8	U	125,48			
148	1180	4584		576309	10378	24029	471689	24029	5,368	0	M>=8	U	127,07			
149	1181	4959		591551	10731	42077	551648	29354	8,056	0	M>=8	U	123,51			
150	1182	4018		605390	10713	43169	401750	21354	11,35	0	M>=8	U	164,35			
151	1183	3935		607781	10751	43348	379941	21360	12,09	0	M>=8	U	170,30			
152	1184	3586		611370	10723	43254	361229	18693	12,63	0	M>=8	U	189,48			
153	1185	3389		608152	10728	42843	395110	21372	11,46	0	M>=8	U	196,16			
154	1186	3276		604748	10759	43057	442127	24042	10,3	0	M>=8	U	198,24			
155	1187	3132		606992	10745	48808	476130	24040	10,8	0	M>=8	U	208,72			
156	1188	2224		585288	10601	41520	645826	34726	6,794	0	M>=8	U	266,09			
157	1189	762		144769	2726	10216	237414	13408	4,561	0	M>=8	U	181,67			
#																
#			cumul (hors M>=1):		10 552 923											
#			6% =		633 175											
#																
#
# 						INDRA 94    Ni+Au  9,02 A.MeV CSS1  cible 100 µg					Vendredi 01 Decembre 1995	
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible NB
402	1458	63	184107	655	8362	19845 0	42,14	4994,48	M>=1	Au C1-11 Ralenti cible Al 20 µ
402	1459	164	271407	1193	13697	52886	2664	27,27	2221,16	M>=1	Au C2-11 AG  HT cible 0,11 kV
402	1460	908	402763	1920	20173	126366	7989	17,04	511,55	M>=1	Au	C4-11 idem
402	1461	2121	318218	1790	17272	160712	7986	11,31	156,38	M>=1	Au C6-11 idem
402	1462	10984	652999	5064	37130	688201	37253	5,70	52,53	M>=1	Au C8-11 idem
403	1463	143	299142	1084	11222	24428	2663	51,56	4291,51	M>=1	Au C1-11 Ralenti cible Al 20 µ
403	1464	526	702055	2723	31056	77404	5321	43,08	2320,70	M>=1	Au C2-11 SG  HT cible 0,11 kV
403	1465	743	363078	1600	19042	118216	5321	16,87	560,84	M>=1	Au C4-11 idem
403	1466	2520	415042	2252	22493	237228	13312	10,05	167,32	M>=1	Au C6-11 idem
403	1467	4909	389789	2904	21549	521212	26631	4,36	65,14	M>=1	Au C8-11 idem
404	1468	4948	874881	4833	47529	554756	29302	9,05	175,55	M>=1	Au C6-11 idem
